MP ID,MP Name,Region Id,GL Code,GL Name,Parent ASIN,ASIN,Review Id,Review Title,Review Text,Review Rating,Brand,Verbatim,Verbatim Score,Topic Id,L1 Topic,L2 Topic,L3 Topic,l4_defect,Polarity,Submission Date,Last Updated DateTime,Week Number
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,68039698701,"be sure to have a backup, because it's not reliable.","[update]:  reminder - they only expect it to work for a year, since the warranty is only 12 months.<br /><br />after 2 years of ownership:<br /><br />it died in year one (9 months) from new (unresponsive, blue light only).  I had to ship it back, it was replaced.  dealing with support to get an RMA was relatively easy.  I was without a camera for about 2 weeks from failure, contact, ship to them, inspect, return shipping.<br /><br />it died again, in year two (14 months after first replacement).  support has been _significantly worse_ to work with so far.  after 10 days of excessive hassle dealing with support, they.....declared it out of warranty.",1,,it died in year one. 9 months,0.52,462fec0e-33a2-4a1d-b63c-bc2d19e91ab1,used or damaged or expired product issues,durability and longevity,durability,dead in few years,negative,2025-04-22T16:33:26.000Z,2025-07-28T03:53:33.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,68039698701,"be sure to have a backup, because it's not reliable.","[update]:  reminder - they only expect it to work for a year, since the warranty is only 12 months.<br /><br />after 2 years of ownership:<br /><br />it died in year one (9 months) from new (unresponsive, blue light only).  I had to ship it back, it was replaced.  dealing with support to get an RMA was relatively easy.  I was without a camera for about 2 weeks from failure, contact, ship to them, inspect, return shipping.<br /><br />it died again, in year two (14 months after first replacement).  support has been _significantly worse_ to work with so far.  after 10 days of excessive hassle dealing with support, they.....declared it out of warranty.",1,,it died again,0.38,877709e6-1eef-499c-ba80-75300dc154d3,used or damaged or expired product issues,durability and longevity,durability,died again,negative,2025-04-22T16:33:26.000Z,2025-07-28T03:53:33.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,68039698701,"be sure to have a backup, because it's not reliable.","[update]:  reminder - they only expect it to work for a year, since the warranty is only 12 months.<br /><br />after 2 years of ownership:<br /><br />it died in year one (9 months) from new (unresponsive, blue light only).  I had to ship it back, it was replaced.  dealing with support to get an RMA was relatively easy.  I was without a camera for about 2 weeks from failure, contact, ship to them, inspect, return shipping.<br /><br />it died again, in year two (14 months after first replacement).  support has been _significantly worse_ to work with so far.  after 10 days of excessive hassle dealing with support, they.....declared it out of warranty.",1,,declared it out of warranty,0.81,2c9b1d5f-352a-4bc2-9747-03c54c036774,customer care and support,customer support,warranty related,out of warranty,negative,2025-04-22T16:33:26.000Z,2025-07-28T03:53:33.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,68039698701,"be sure to have a backup, because it's not reliable.","[update]:  reminder - they only expect it to work for a year, since the warranty is only 12 months.<br /><br />after 2 years of ownership:<br /><br />it died in year one (9 months) from new (unresponsive, blue light only).  I had to ship it back, it was replaced.  dealing with support to get an RMA was relatively easy.  I was without a camera for about 2 weeks from failure, contact, ship to them, inspect, return shipping.<br /><br />it died again, in year two (14 months after first replacement).  support has been _significantly worse_ to work with so far.  after 10 days of excessive hassle dealing with support, they.....declared it out of warranty.",1,,"after 10 days of excessive hassle dealing with support, they",0.67,046678eb-20b3-4abb-a930-bd272fc8909f,customer service,customer support,technical support,bad support,negative,2025-04-22T16:33:26.000Z,2025-07-28T03:53:33.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,68039698701,"be sure to have a backup, because it's not reliable.","[update]:  reminder - they only expect it to work for a year, since the warranty is only 12 months.<br /><br />after 2 years of ownership:<br /><br />it died in year one (9 months) from new (unresponsive, blue light only).  I had to ship it back, it was replaced.  dealing with support to get an RMA was relatively easy.  I was without a camera for about 2 weeks from failure, contact, ship to them, inspect, return shipping.<br /><br />it died again, in year two (14 months after first replacement).  support has been _significantly worse_ to work with so far.  after 10 days of excessive hassle dealing with support, they.....declared it out of warranty.",1,,support has been _significantly worse_ to work with so far,0.8,cb22a527-64d6-4fed-a1bf-73ca23bcfb06,customer service,customer support,customer service,bad customer support,negative,2025-04-22T16:33:26.000Z,2025-07-28T03:53:33.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75473387661,Love this little webcam!,"Clever little thing! I love the true physical PTZ and the very high quality image of this little webcam. Good low-light performance too, since the lens & sensor are so good: low-light image doesn’t get all grainy, and the camera automatically increases or decreases the exposure level to adapt. (I believe it does this digitally: I don’t see the aperture changing in the physical lens when it happens)<br /><br />This is the one that screws to a tripod bolt (standard thread & size) or clips to the top of your monitor— this is NOT the InstaLink360 that goes on the end of a selfie stick. No battery in this one, no onboard data card, it must plug into your phone or laptop— but in that role, damn is it good.<br /><br />InstaLink does provide control software for it, but I haven’t had to download it yet: the AI-interpreted hand signals work fine for my purposes.",5,,Good low-light performance too,0.85,fad8a7de-ced7-4e4c-9584-3209c41b2ae4,product component related specs or functionalities,weather suitability,night vision,good low light performance,positive,2025-04-13T20:25:19.000Z,2025-08-22T09:43:38.000Z,2025/4/12 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75473387661,Love this little webcam!,"Clever little thing! I love the true physical PTZ and the very high quality image of this little webcam. Good low-light performance too, since the lens & sensor are so good: low-light image doesn’t get all grainy, and the camera automatically increases or decreases the exposure level to adapt. (I believe it does this digitally: I don’t see the aperture changing in the physical lens when it happens)<br /><br />This is the one that screws to a tripod bolt (standard thread & size) or clips to the top of your monitor— this is NOT the InstaLink360 that goes on the end of a selfie stick. No battery in this one, no onboard data card, it must plug into your phone or laptop— but in that role, damn is it good.<br /><br />InstaLink does provide control software for it, but I haven’t had to download it yet: the AI-interpreted hand signals work fine for my purposes.",5,,Love this little webcam,0.7,efc3988a-8939-4719-af14-eb7e0dff6c14,miscellaneous,customer preference,customer satisfaction,good webcam,positive,2025-04-13T20:25:19.000Z,2025-08-22T09:43:38.000Z,2025/4/12 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75473387661,Love this little webcam!,"Clever little thing! I love the true physical PTZ and the very high quality image of this little webcam. Good low-light performance too, since the lens & sensor are so good: low-light image doesn’t get all grainy, and the camera automatically increases or decreases the exposure level to adapt. (I believe it does this digitally: I don’t see the aperture changing in the physical lens when it happens)<br /><br />This is the one that screws to a tripod bolt (standard thread & size) or clips to the top of your monitor— this is NOT the InstaLink360 that goes on the end of a selfie stick. No battery in this one, no onboard data card, it must plug into your phone or laptop— but in that role, damn is it good.<br /><br />InstaLink does provide control software for it, but I haven’t had to download it yet: the AI-interpreted hand signals work fine for my purposes.",5,,I havent had to download it yet: the AI-interpreted hand signals work fine for my purposes,0.58,3c36ebf7-0fa8-4fdb-bdcc-85b3fdc28b02,product component related specs or functionalities,user experience,software application,good hand signals,positive,2025-04-13T20:25:19.000Z,2025-08-22T09:43:38.000Z,2025/4/12 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75473387661,Love this little webcam!,"Clever little thing! I love the true physical PTZ and the very high quality image of this little webcam. Good low-light performance too, since the lens & sensor are so good: low-light image doesn’t get all grainy, and the camera automatically increases or decreases the exposure level to adapt. (I believe it does this digitally: I don’t see the aperture changing in the physical lens when it happens)<br /><br />This is the one that screws to a tripod bolt (standard thread & size) or clips to the top of your monitor— this is NOT the InstaLink360 that goes on the end of a selfie stick. No battery in this one, no onboard data card, it must plug into your phone or laptop— but in that role, damn is it good.<br /><br />InstaLink does provide control software for it, but I haven’t had to download it yet: the AI-interpreted hand signals work fine for my purposes.",5,,the very high quality image of this little webcam,0.59,9ef07502-348c-4772-829a-8c7f899f45df,product component related specs or functionalities,image,image or picture clarity,good quality webcam,positive,2025-04-13T20:25:19.000Z,2025-08-22T09:43:38.000Z,2025/4/12 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75473387661,Love this little webcam!,"Clever little thing! I love the true physical PTZ and the very high quality image of this little webcam. Good low-light performance too, since the lens & sensor are so good: low-light image doesn’t get all grainy, and the camera automatically increases or decreases the exposure level to adapt. (I believe it does this digitally: I don’t see the aperture changing in the physical lens when it happens)<br /><br />This is the one that screws to a tripod bolt (standard thread & size) or clips to the top of your monitor— this is NOT the InstaLink360 that goes on the end of a selfie stick. No battery in this one, no onboard data card, it must plug into your phone or laptop— but in that role, damn is it good.<br /><br />InstaLink does provide control software for it, but I haven’t had to download it yet: the AI-interpreted hand signals work fine for my purposes.",5,,damn is it good,0.92,dbd66d81-1cb5-4be0-96b2-898ff3252359,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-04-13T20:25:19.000Z,2025-08-22T09:43:38.000Z,2025/4/12 00:00
